"country","hdi","pop2022"
"Afghanistan","0.4960","40754.3880"
"Albania","0.7910","2866.3740"
"Algeria","0.7590","45350.1480"
"Andorra","0.8570","77.4630"
"Angola","0.5740","35027.3430"
"Antigua and Barbuda","0.7760","99.5090"
"Argentina","0.8300","46010.2340"
"Armenia","0.7600","2971.9660"
"Australia","0.9380","26068.7920"
"Austria","0.9140","9066.7100"
"Azerbaijan","0.7540","10300.2050"
"Bahamas","0.8050","400.5160"
"Bahrain","0.8380","1783.9830"
"Bangladesh","0.6140","167885.6890"
"Barbados","0.8130","288.0230"
"Belarus","0.8170","9432.8000"
"Belgium","0.9190","11668.2780"
"Belize","0.7200","412.1900"
"Benin","0.5200","12784.7260"
"Bhutan","0.6170","787.9410"
"Bolivia","0.7030","11992.6560"
"Bosnia and Herzegovina","0.7690","3249.3170"
"Botswana","0.7280","2441.1620"
"Brazil","0.7610","215353.5930"
"Brunei","0.8450","445.4310"
"Bulgaria","0.8160","6844.5970"
"Burkina Faso","0.4340","22102.8380"
"Burundi","0.4230","12624.8400"
"Cambodia","0.5810","17168.6390"
"Cameroon","0.5630","27911.5480"
"Canada","0.9220","38388.4190"
"Central African Republic","0.3810","5016.6780"
"Chad","0.4010","17413.5800"
"Chile","0.8470","19250.1950"
"China","0.7580","1448471.4000"
"Colombia","0.7610","51512.7620"
"Comoros","0.5380","907.4190"
"Costa Rica","0.7940","5182.3540"
"Croatia","0.8370","4059.2860"
"Cuba","0.7780","11305.6520"
"Cyprus","0.8730","1223.3870"
"Czech Republic","0.8910","10736.7840"
"Denmark","0.9300","5834.9500"
"Djibouti","0.4950","1016.0970"
"Dominican Republic","0.7450","11056.3700"
"DR Congo","0.4590","95240.7920"
"Ecuador","0.7580","18113.3610"
"Egypt","0.7000","106156.6920"
"El Salvador","0.6670","6550.3890"
"Equatorial Guinea","0.5880","1496.6620"
"Eritrea","0.4340","3662.2440"
"Estonia","0.8820","1321.9100"
"Eswatini","0.6080","1184.8170"
"Ethiopia","0.4700","120812.6980"
"Fiji","0.7240","909.4660"
